Cluster,Gene_name
Cluster005,TOP2A
Cluster005,KIF20A
Cluster005,HJURP
Cluster005,CDC25A
Cluster005,UBE2T
Cluster005,CENPE
Cluster005,CENPN
Cluster005,NUSAP1
Cluster005,C12orf48
Cluster005,PRC1
Cluster005,MCM4
Cluster005,CDCA3
Cluster005,POLQ
Cluster005,CEP55
Cluster005,CDC2
Cluster005,DLGAP5
Cluster005,NCAPG
Cluster005,CKAP2L
Cluster005,PTTG1
Cluster005,HMMR
Cluster005,UHRF1
Cluster005,CCNA2
Cluster005,PLK4
Cluster005,KIF11
Cluster005,TPX2
Cluster005,CENPA
Cluster005,CCNB2
Cluster005,TK1
Cluster005,TYMS
Cluster005,GINS2
Cluster005,ASPM
Cluster005,PTTG1
Cluster005,PTTG3P
Cluster005,RACGAP1
Cluster005,OIP5
Cluster005,BUB1
Cluster005,MELK
Cluster005,KIFC1
Cluster005,CENPE
Cluster005,KIAA0101
Cluster005,AURKA
Cluster005,CENPM
Cluster005,HMMR
Cluster005,CCNE2
Cluster005,STIL
Cluster005,DLGAP5
Cluster006,CA1
Cluster006,MUC6
Cluster006,SRRD
Cluster006,GYPC
Cluster006,ASCC2
Cluster006,SELENBP1
Cluster006,GYPB
Cluster006,SESN3
Cluster006,GYPE
Cluster006,AHSP
Cluster006,STRADB
Cluster006,SLC6A10P
Cluster006,LOC440359
Cluster006,C20orf108
Cluster006,ALAS2
Cluster006,LOC389599
Cluster006,FBXO7
Cluster006,KRT1
Cluster006,TMOD1
Cluster006,SERPINA13
Cluster006,SLC25A39
Cluster006,FBXO7
Cluster006,LOC440313
Cluster006,GSPT1
Cluster006,IFIT1L
Cluster006,HAGH
Cluster006,SLC4A1
Cluster006,FECH
Cluster006,CSDA
Cluster006,GLRX5
Cluster006,TSPAN5
Cluster006,LOC644852
Cluster006,DPYSL5
Cluster006,GPR175
Cluster006,SLC6A8
Cluster006,TNS1
Cluster006,EPB42
Cluster006,HBD
Cluster006,HBM
Cluster006,PIP5K2A
Cluster006,MBNL3
Cluster006,ALAS2
Cluster006,LOC100131726
Cluster006,LOC642469
Cluster006,LOC100131391
Cluster006,LOC100131164
Cluster007,EXOC6
Cluster007,ATP11B
Cluster007,PFKFB3
Cluster007,FLOT1
Cluster007,HK3
Cluster007,BMX
Cluster007,PGM2
Cluster007,ZNF438
Cluster007,SERPINB1
Cluster007,ITGAM
Cluster007,GADD45A
Cluster007,ANXA3
Cluster007,CA4
Cluster007,AGTPBP1
Cluster007,METTL9
Cluster007,TBC1D8
Cluster007,SNX3
Cluster007,LOC645058
Cluster007,IDI1
Cluster007,DACH1
Cluster007,C5orf32
Cluster007,GTDC1
Cluster007,C19orf59
Cluster007,BNIP2
Cluster007,WIPI1
Cluster007,TMEM2
Cluster007,HRB
Cluster007,BMX
Cluster007,MMP9
Cluster007,NLRC4
Cluster007,UPP1
Cluster007,CLEC4D
Cluster007,TDRD9
Cluster007,PHCA
Cluster007,PECR
Cluster007,GADD45A
Cluster007,PGS1
Cluster007,FCER1G
Cluster007,TDRD9
Cluster007,PFKFB3
Cluster007,PGK1
Cluster007,HBXIP
Cluster007,TMCO3
Cluster007,RABGEF1
Cluster007,GYG1
Cluster007,LILRA6
Cluster008,ASPSCR1
Cluster008,PUS1
Cluster008,DDX56
Cluster008,GGA2
Cluster008,JMJD8
Cluster008,CD81
Cluster008,VARS
Cluster008,ILF3
Cluster008,AKR1B1
Cluster008,C17orf70
Cluster008,TMED3
